Designator,Footprint,Quantity,Value,LCSC Part #
D1,LED_D3.0mm,1,Z',
D2,LED_D3.0mm,1,Z,
D3,LED_D3.0mm,1,Y',
D4,LED_D3.0mm,1,Y,
D5,LED_D3.0mm,1,X',
D6,LED_D3.0mm,1,X,
D7,LED_D3.0mm,1,PWR,
J1,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",1,Z',
J2,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",1,Z,
J3,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",1,Y',
J4,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",1,Y,
J5,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",1,X',
J6,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",1,XX,
J7,"PhoenixContact_MCV_1,5_8-G-3.81_1x08_P3.81mm_Vertical",1,Screw_Terminal_01x08,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,X,
JP2,PinHeader_1x02_P2.54mm_Vertical,1,Y,
JP3,PinHeader_1x02_P2.54mm_Vertical,1,Z,
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,BC858,
"R1, R16, R17, R18, R19, R2, R3",1206,7,10k,
"R10, R11, R13, R15, R5, R6",1206,6,100k,
"R12, R14, R4, R7, R8, R9",1206,6,1k,
