Designator,Mid X,Mid Y,Rotation,Layer
D1,167.5,-107.5,90.0,top
D2,163.0,-107.5,90.0,top
D3,157.25,-107.5,90.0,top
D4,152.75,-107.5,90.0,top
D5,147.0,-107.4748,90.0,top
D6,142.5,-107.4748,90.0,top
D7,142.308,-114.75,180.0,top
J1,163.6175,-93.0425,180.0,top
J2,146.4,-93.0,180.0,top
J3,163.6175,-79.2425,180.0,top
J4,146.4175,-79.4,180.0,top
J5,163.6175,-65.2425,180.0,top
J6,146.4,-65.2425,180.0,top
J7,155.0,-124.0,180.0,top
JP1,150.75,-114.0,270.0,top
JP2,158.9368,-114.0,270.0,top
JP3,166.975,-114.0,270.0,top
Q1,160.6468,-100.3368,180.0,bottom
Q2,160.6468,-86.3668,180.0,bottom
Q3,160.6468,-72.3968,180.0,bottom
Q4,143.1208,-100.0844,180.0,bottom
Q5,143.1208,-86.3668,180.0,bottom
Q6,143.07,-72.3968,180.0,bottom
R1,167.5,-102.5,270.0,bottom
R10,143.0,-96.25,0.0,bottom
R11,160.1388,-68.5868,0.0,bottom
R12,146.5,-83.5,270.0,bottom
R13,142.6128,-82.5568,0.0,bottom
R14,146.75,-69.8568,270.0,bottom
R15,142.5372,-68.5868,0.0,bottom
R16,152.75,-102.0,270.0,bottom
R17,155.0,-113.25,90.0,bottom
R18,146.5,-113.0,90.0,bottom
R19,144.95,-118.5,180.0,bottom
R2,162.75,-113.25,90.0,bottom
R3,155.25,-102.0,270.0,bottom
R4,147.1868,-96.9748,270.0,bottom
R5,160.1388,-96.2728,0.0,bottom
R6,160.1388,-82.5568,0.0,bottom
R7,164.1868,-97.2248,270.0,bottom
R8,164.25,-83.5,270.0,bottom
R9,164.25,-69.8568,270.0,bottom
