Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",1210,2,10u 50v,
"C10, C3",0805,2,1u,
"C11, C16, C17, C18, C19, C20, C22, C23, C24, C25",1206,10,1nF 250V,
"C12, C13, C14, C7, C8",0603,5,100n,
C2,0805,1,220nF,
C4,0805,1,10n,
C6,1210,1,47u,
C9,0805,1,100n,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D6, D7, D8, D9",LED_D3.0mm,14,LED,
D2,LED_D3.0mm,1,red,
D3,LED_D3.0mm,1,orange,
D4,LED_D3.0mm,1,green,
D5,LED_D3.0mm,1,GRN,
"F1, F2",Murata_NFM61R,2,~,
"J1, J2, J3","PhoenixContact_MCV_1,5_6-G-3.81_1x06_P3.81mm_Vertical",3,6pins,
"J10, J16, J8, J9","PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical",4,Phoenix,
"J11, J12, J14, J6, J7","PhoenixContact_MCV_1,5_3-G-3.81_1x03_P3.81mm_Vertical",5,3pins,
J13,GroundPlot,1,~,
J17,DSUB-9_Pins_Vertical_P2.77x2.84mm_MountingHoles,1,DE9_Socket_MountingHoles,
J20,PinHeader_2x03_P2.54mm_Vertical,1,AVR-UPDI,
"J4, J5","PhoenixContact_MCV_1,5_7-G-3.81_1x07_P3.81mm_Vertical",2,7pins,
L1,L_Wuerth_HCM-7070,1,10uH,
R1,0603,1,100k,
"R11, R12, R13, R14, R15, R17, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72",1206,31,332,
"R16, R83, R84, R85",1206,4,10K,
R2,0603,1,24k9,
"R20, R21, R22, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43",1206,17,432,
"R27, R28, R29",1206,3,2k21,
R3,1206,1,680,
R4,1206,1,100K,
"R5, R6",1206,2,6k81,
"R74, R75, R76, R78, R79, R80, R81",1206,7,560,
TP1,TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded,1,Vcc TP,
TP2,TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded,1,GND_TP,
TP3,TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded,1,IDLE,
U1,Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,1,LMR33630ADDA,
"U10, U14, U15, U17, U18, U19, U5, U6, U8, U9",DIP-4_W7.62mm,10,PC817,
"U11, U12, U13",TSSOP-24_4.4x7.8mm_P0.65mm,3,PCA9555PW,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,LT1785AxS8,
U3,SOIC-20W_7.5x12.8mm_P1.27mm,1,ATtiny3226,
