Designator,Mid X,Mid Y,Rotation,Layer
C1,183.352,-102.5265,90.0,top
C10,152.842,-103.1985,90.0,top
C11,190.561,-54.833,0.0,top
C12,147.762,-107.284,90.0,top
C13,153.858,-125.572,0.0,top
C14,141.92,-66.0355,270.0,top
C16,214.5255,-54.706,0.0,top
C17,206.944,-54.833,0.0,top
C18,179.639,-54.833,0.0,top
C19,185.1,-54.833,0.0,top
C2,186.4,-102.0015,90.0,top
C20,181.468,-67.152,0.0,top
C22,196.022,-54.833,0.0,top
C23,201.483,-54.833,0.0,top
C24,193.152,-67.196,180.0,top
C25,163.7265,-67.196,180.0,top
C3,197.5975,-104.52,0.0,top
C4,196.814,-101.2395,90.0,top
C5,185.13,-97.1155,270.0,top
C6,179.004,-99.1175,270.0,top
C7,176.21,-98.255,90.0,top
C8,200.34,-130.144,180.0,top
C9,155.382,-103.22,90.0,top
D1,189.0,-114.0,180.0,top
D10,128.0,-89.0,0.0,top
D11,128.0,-94.0,0.0,top
D12,128.0,-99.0,0.0,top
D13,128.0,-104.0,0.0,top
D14,128.0,-109.0,0.0,top
D15,128.0,-114.0,0.0,top
D16,128.0,-119.0,0.0,top
D17,128.0,-124.0,0.0,top
D18,128.0,-129.0,0.0,top
D2,189.0,-119.0,180.0,top
D3,189.0,-124.0,180.0,top
D4,189.0,-129.0,180.0,top
D5,128.0,-64.0,0.0,top
D6,128.0,-69.0,0.0,top
D7,128.0,-74.0,0.0,top
D8,128.0,-79.0,0.0,top
D9,128.0,-84.0,0.0,top
F1,186.272,-107.538,180.0,top
F2,182.052,-92.806,180.0,top
J1,134.681,-49.88,0.0,top
J10,152.461,-143.098,180.0,top
J11,214.056,-61.056,0.0,top
J12,170.876,-61.056,0.0,top
J13,215.794,-143.308,0.0,top
J14,193.736,-143.098,180.0,top
J16,205.801,-143.098,180.0,top
J17,212.0,-93.0,90.0,top
J2,170.241,-49.88,0.0,top
J20,215.27,-121.0,0.0,top
J3,134.681,-143.098,180.0,top
J4,172.146,-143.098,180.0,top
J5,192.466,-61.056,0.0,top
J6,189.926,-49.88,0.0,top
J7,203.896,-49.88,0.0,top
J8,215.961,-49.88,0.0,top
J9,152.461,-49.88,0.0,top
L1,191.465,-95.376,180.0,top
R1,193.3615,-107.06,180.0,top
R11,180.96,-115.176,270.0,top
R12,213.548,-134.716,0.0,top
R13,175.73,-121.254,270.0,top
R14,147.228,-123.032,0.0,top
R15,152.816,-118.46,180.0,top
R16,145.756,-131.922,180.0,top
R17,154.34,-107.03,180.0,top
R2,195.798,-107.9725,90.0,top
R20,184.008,-115.176,270.0,top
R21,181.848,-123.666,0.0,top
R22,181.772,-127.096,0.0,top
R27,200.264,-81.928,270.0,top
R28,154.544,-81.928,270.0,top
R29,159.624,-81.928,270.0,top
R3,195.184,-114.0,180.0,top
R30,134.3,-76.592742,180.0,top
R31,134.3,-79.259742,180.0,top
R32,134.3,-81.926742,180.0,top
R33,134.3,-84.593742,180.0,top
R34,134.3,-87.260742,180.0,top
R35,134.3,-89.927742,180.0,top
R36,134.3,-92.594742,180.0,top
R37,134.3,-98.563742,180.0,top
R38,134.3,-101.230742,180.0,top
R39,134.3,-113.126,180.0,top
R4,174.73,-125.292,0.0,top
R40,134.3,-115.666,180.0,top
R41,134.3,-118.206,180.0,top
R42,134.3,-120.746,180.0,top
R43,134.3,-123.286,180.0,top
R44,128.966,-57.246,90.0,top
R45,131.252,-57.246,90.0,top
R46,141.92,-56.992,90.0,top
R47,144.206,-56.992,90.0,top
R48,146.492,-56.992,90.0,top
R49,148.778,-56.992,90.0,top
R5,147.28,-118.46,180.0,top
R50,151.064,-56.992,90.0,top
R51,153.35,-56.992,90.0,top
R52,155.636,-56.992,90.0,top
R53,157.922,-56.992,90.0,top
R54,160.208,-56.992,90.0,top
R55,162.494,-56.992,90.0,top
R6,147.228,-125.318,180.0,top
R60,147.0,-136.0,270.0,top
R61,144.0,-136.0,270.0,top
R62,141.0,-136.0,270.0,top
R63,131.0,-136.45,270.0,top
R64,128.0,-136.45,270.0,top
R65,125.0,-136.45,270.0,top
R66,183.0,-136.45,90.0,top
R67,180.0,-136.45,270.0,top
R68,177.0,-136.45,270.0,top
R69,174.0,-136.45,270.0,top
R70,171.0,-136.45,270.0,top
R71,168.0,-136.45,270.0,top
R72,165.0,-136.45,270.0,top
R74,169.784,-81.928,90.0,top
R75,174.864,-81.928,90.0,top
R76,179.944,-81.928,90.0,top
R78,185.024,-81.928,90.0,top
R79,190.104,-81.928,90.0,top
R80,195.184,-81.928,90.0,top
R81,164.704,-81.928,90.0,top
R83,200.264,-67.152,180.0,top
R84,154.544,-66.136,90.0,top
R85,160.930044,-64.612,0.0,top
TP1,199.832,-116.682,0.0,top
TP2,218.374,-129.382,0.0,top
TP3,218.374,-134.716,0.0,top
U1,191.592,-103.108,0.0,top
U10,160.894,-74.054,90.0,top
U11,142.428,-104.236,90.0,top
U12,136.84,-68.93,270.0,top
U13,156.611,-130.4665,0.0,top
U14,165.974,-74.054,90.0,top
U15,186.294,-74.054,90.0,top
U17,181.214,-74.054,90.0,top
U18,176.134,-74.054,90.0,top
U19,171.054,-74.054,90.0,top
U2,195.525,-134.0,270.0,top
U3,163.256,-110.205,270.0,top
U5,191.374,-74.054,90.0,top
U6,196.454,-74.054,90.0,top
U8,201.534,-74.054,90.0,top
U9,155.814,-74.054,90.0,top
