Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_Murata_PKLCS1212E,1,Buzzer,
"C1, C2",1210,2,47u,
"C3, C5, C6",0603,3,100n,
F1,Murata_NFM61R,1,~,
J1,Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,1,Screw_Terminal_01x05,
J2,DSUB-9_Female_EdgeMount_P2.77mm,1,DE9_Plug_MountingHoles,
J3,PinHeader_2x03_P2.54mm_Vertical,1,AVR-UPDI-6,
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,BSS138,
Q7,SOT-23,1,BC846,
"R1, R17, R18, R27",1206,4,1K,
"R10, R12, R2, R3, R5, R7",1206,6,22,
"R11, R13, R4, R6, R8, R9",1206,6,100k,
"R14, R15, R16",1206,3,362,
"R19, R20",1206,2,2k2,
"R21, R22, R23, R24, R25, R26",1206,6,332,
"SW1, SW5, SW6, SW7, SW8, SW9",PUSH_STDP_LED,6,~,
"TP1, TP2",TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,2,TestPoint,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,LT1785AxS8,
U2,SOIC-14_3.9x8.7mm_P1.27mm,1,ATtiny1624-SS,
U3,TSSOP-24_4.4x7.8mm_P0.65mm,1,PCA9555PW,
