Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1210,2,47u,
C3,0603,1,100n,
FL1,Murata_NFM61R,1,Filter_EMI_LCL,
J1,Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
"J3, J4, J5",Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,3,Conn_01x04_Pin,
J6,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J7,DSUB-15_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,DA15_Plug_MountingHoles,
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,BSS138,
"R1, R2, R3, R7, R8, R9",1206,6,22,
"R10, R11, R12, R4, R5, R6",1206,6,100k,
"R14, R15, R16, R17, R18, R19",1206,6,332,
"SW1, SW2, SW3, SW4",DPDT-LED12V,4,~,
"SW6, SW9",PUSH_STDP_LED,2,~,
U1,TSSOP-24_4.4x7.8mm_P0.65mm,1,PCA9555PW,
