Designator,Mid X,Mid Y,Rotation,Layer
C1,182.522,-210.2275,270.0,bottom
C2,177.188,-202.646,90.0,bottom
C3,188.872,-180.04,90.0,bottom
FL1,174.042,-208.488,0.0,bottom
J1,161.968,-203.281,90.0,bottom
J3,148.711884,-167.536168,225.0,bottom
J4,148.711884,-177.536168,225.0,bottom
J5,149.711884,-158.536168,225.0,bottom
J6,146.301949,-147.807949,0.0,bottom
J7,144.009669,-205.094,90.0,bottom
Q1,174.5695,-148.29,180.0,bottom
Q2,163.3935,-173.944,180.0,bottom
Q3,177.3635,-218.14,180.0,bottom
Q4,188.2855,-148.036,0.0,bottom
Q5,192.3495,-198.262,0.0,bottom
Q6,203.0175,-208.046,0.0,bottom
R1,180.236,-149.052,90.0,bottom
R10,187.856,-153.116,0.0,bottom
R11,192.91,-201.884,180.0,bottom
R12,197.0,-208.996,0.0,bottom
R14,166.012,-163.784,0.0,bottom
R15,198.016,-163.784,180.0,bottom
R16,166.012,-166.324,0.0,bottom
R17,197.0,-172.446,270.0,bottom
R18,193.444,-173.436,270.0,bottom
R19,200.556,-172.42,270.0,bottom
R2,170.688,-173.944,90.0,bottom
R3,183.258,-217.124,0.0,bottom
R4,183.284,-149.052,270.0,bottom
R5,167.894,-173.944,270.0,bottom
R6,182.268,-221.214,270.0,bottom
R7,187.856,-156.164,180.0,bottom
R8,187.856,-197.82,270.0,bottom
R9,197.0,-205.44,180.0,bottom
SW1,199.5,-153.764,0.0,top
SW2,163.5,-153.764,0.0,top
SW3,163.5,-186.764,0.0,top
SW4,199.5,-186.764,0.0,top
SW6,163.5,-219.764,0.0,top
SW9,199.5,-219.764,0.0,top
U1,180.5255,-173.015,90.0,bottom
