Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_15x7.5RM7.6,1,Buzzer,
"C1, C3",1206,2,3u3,
C2,0805,1,470p,
C4,0805,1,1u,
"C5, C6",1210,2,C_Polarized,
"D1, D2",LED_D3.0mm,2,GREEN,
D3,LED_D3.0mm,1,ORANGE,
"D4, D5",LED_D3.0mm,2,RED,
J1,"PhoenixContact_MCV_1,5_3-G-3.81_1x03_P3.81mm_Vertical",1,Conn_01x03_Pin,
"J3, J5, J6","PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical",3,Conn_01x02_Pin,
J4,"PhoenixContact_MCV_1,5_6-G-3.81_1x06_P3.81mm_Vertical",1,Conn_01x06_Pin,
J7,PinHeader_2x03_P2.54mm_Vertical,1,AVR-UPDI-6,
"Q1, Q2",SOT-23,2,BC858,
Q3,SOT-23,1,BC846,
"R1, R2",1206,2,470,
"R10, R12, R24, R25, R26, R27, R28, R29",1206,8,10k,
"R11, R9",1206,2,1k8,
"R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R3, R4, R5, R6, R7, R8",1206,17,1k,
"TP1, TP2, TP3",TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,3,TestPoint,
"U2, U3",DIP-4_W7.62mm,2,PC817,
U4,SOIC-20W_7.5x12.8mm_P1.27mm,1,ATtiny3226-S,
U5,SOT-23-5,1,MIC5205-5.0YM5,
