Designator,Mid X,Mid Y,Rotation,Layer
BZ1,147.0,-98.0,45.0,top
C1,172.72,-92.71,270.0,bottom
C2,168.148,-98.044,180.0,bottom
C3,168.1865,-89.916,180.0,bottom
C4,163.0626,-104.531,90.0,bottom
C5,168.148,-86.614,180.0,bottom
C6,172.212,-70.612,180.0,bottom
D1,137.0,-76.735,270.0,top
D2,142.0,-76.735,270.0,top
D3,147.0,-76.735,270.0,top
D4,152.0,-76.735,270.0,top
D5,157.0,-76.735,270.0,top
J1,126.0,-64.0,0.0,top
J3,169.8875,-64.3575,0.0,top
J4,162.0,-124.0,180.0,top
J5,158.9055,-64.3655,0.0,top
J6,124.0,-124.0,180.0,top
J7,144.272,-66.04,270.0,top
Q1,160.782,-71.374,270.0,bottom
Q2,165.354,-71.374,270.0,bottom
Q3,131.5666,-93.863,0.0,bottom
R1,124.9632,-71.612,180.0,bottom
R10,162.052,-75.438,0.0,bottom
R11,160.528,-89.154,90.0,bottom
R12,168.148,-75.438,0.0,bottom
R13,134.9194,-113.7258,270.0,bottom
R14,142.494,-113.792,270.0,bottom
R15,124.76,-117.84,0.0,bottom
R16,124.76,-114.284,0.0,bottom
R17,137.0,-82.01,270.0,bottom
R18,142.0,-81.91,270.0,bottom
R19,147.0,-81.91,270.0,bottom
R2,129.84,-70.114,270.0,bottom
R20,152.0,-81.91,270.0,bottom
R21,157.0,-81.91,270.0,bottom
R22,127.508,-96.266,270.0,bottom
R23,135.91,-95.0308,270.0,bottom
R24,170.688,-117.094,270.0,bottom
R25,168.142,-117.104,270.0,bottom
R26,163.316,-117.104,270.0,bottom
R27,158.49,-117.104,270.0,bottom
R28,148.838,-117.104,270.0,bottom
R29,153.664,-117.104,270.0,bottom
R3,173.228,-117.104,270.0,bottom
R4,165.729,-117.104,270.0,bottom
R5,160.903,-117.104,270.0,bottom
R6,156.077,-117.104,270.0,bottom
R7,151.251,-117.104,270.0,bottom
R8,146.425,-117.104,270.0,bottom
R9,163.068,-89.154,270.0,bottom
TP1,123.444,-89.916,0.0,top
TP2,123.444,-83.312,0.0,top
TP3,167.914,-106.055,0.0,top
U2,133.655,-121.66,90.0,top
U3,141.0662,-121.6506,90.0,top
U4,153.67,-101.6,0.0,bottom
U5,168.148,-93.726,180.0,bottom
