Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C2, C3, C4, C5",1206,7,1u,
C10,1210,1,100n,
C13,CP_EIA-6032-28_Kemet-C,1,47uF,
C6,1210,1,10u 50V,
"C7, C9",1206,2,100n,
C8,1206,1,4u7 10V,
"D1, D2, D3, D4, D5",D_SOD-323F,5,4448,
D6,LED_D3.0mm,1,LED,
"F1, F2",Murata_NFM61R,2,~,
"J1, J2, J3, J4, J5, J6, J8","PhoenixContact_MCV_1,5_3-G-3.81_1x03_P3.81mm_Vertical",7,Conn_01x03_Pin,
J10,PinHeader_2x03_P2.54mm_Vertical,1,AVR-UPDI-6,
"J7, J9","PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical",2,Conn_01x02_Pin,
"Q2, Q3, Q4, Q5, Q6",SOT-23,5,DMN6075S,
"R1, R11, R12, R16, R4, R6, R8",1206,7,10K,
"R10, R3, R5, R7, R9",1206,5,22,
"R13, R15, R2",1206,3,332,
R14,1206,1,470,
TP1,TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded,1,+12V,
TP2,TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded,1,Vcc,
TP3,TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded,1,GND,
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,ATtiny3224-SS,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,LT1785AxS8,
U4,SOT-223,1,LM1117DT-5.0,
