Designator,Mid X,Mid Y,Rotation,Layer
C1,166.0,-58.0,180.0,bottom
C10,130.556,-111.0365,90.0,bottom
C11,166.048,-103.0,180.0,bottom
C12,165.5785,-117.0,180.0,bottom
C13,136.906,-117.856,0.0,bottom
C2,166.0865,-73.0,180.0,bottom
C3,166.0,-87.0,180.0,bottom
C4,151.384,-112.776,0.0,bottom
C5,142.278,-79.0755,90.0,bottom
C6,135.89,-90.424,180.0,bottom
C7,135.8515,-87.122,180.0,bottom
C8,130.81,-105.4485,270.0,bottom
C9,127.762,-105.41,270.0,bottom
D1,170.1025,-60.456,90.0,bottom
D2,170.1505,-75.54,90.0,bottom
D3,170.064,-89.54,90.0,bottom
D4,170.112,-105.54,90.0,bottom
D5,170.112,-119.54,90.0,bottom
D6,128.0,-122.0,270.0,top
F1,137.795,-112.268,0.0,bottom
F2,137.795,-95.25,0.0,bottom
J1,128.3575,-77.2075,90.0,top
J10,141.475,-130.275,270.0,top
J2,175.33,-62.34,270.0,top
J3,175.33,-76.59,270.0,top
J4,175.33,-90.84,270.0,top
J5,175.33,-106.84,270.0,top
J6,175.33,-120.84,270.0,top
J7,175.33,-132.995,270.0,top
J8,128.3575,-62.2075,90.0,top
J9,128.3575,-132.8,90.0,top
Q2,166.625,-61.556,0.0,bottom
Q3,166.682,-76.5195,0.0,bottom
Q4,166.508,-90.556,0.0,bottom
Q5,166.4775,-106.556,0.0,bottom
Q6,166.6345,-120.556,0.0,bottom
R1,151.384,-126.746,0.0,bottom
R10,160.46,-121.064,270.0,bottom
R11,163.0,-107.064,270.0,bottom
R12,163.0,-121.09,270.0,bottom
R13,135.76,-78.994,270.0,bottom
R14,133.0,-123.0,0.0,bottom
R15,138.3,-78.994,270.0,bottom
R16,134.62,-134.62,180.0,bottom
R2,132.978,-78.994,270.0,bottom
R3,160.4505,-62.09,90.0,bottom
R4,162.9905,-62.09,270.0,bottom
R5,160.4985,-77.064,90.0,bottom
R6,163.0,-77.064,270.0,bottom
R7,160.412,-91.064,90.0,bottom
R8,162.952,-91.064,270.0,bottom
R9,160.46,-107.064,270.0,bottom
TP1,142.5,-65.75,0.0,top
TP2,137.75,-83.5,0.0,top
TP3,163.25,-131.75,0.0,top
U1,150.475,-119.81,270.0,bottom
U3,148.525,-79.121,270.0,bottom
U4,138.43,-103.632,0.0,bottom
