Designator,Mid X,Mid Y,Rotation,Layer
C1,123.0,-70.75,90.0,bottom
C10,138.0,-81.25,180.0,bottom
C2,128.75,-73.25,180.0,bottom
C3,115.5,-60.25,0.0,bottom
C4,144.75,-66.929,90.0,bottom
C5,132.588,-62.357,270.0,bottom
C6,114.0,-63.5,270.0,bottom
C7,127.5,-69.75,180.0,bottom
C8,150.0,-72.75,90.0,bottom
C9,124.5,-81.25,180.0,bottom
D1,118.11,-81.28,0.0,bottom
D2,131.54,-81.28,0.0,bottom
D3,144.78,-81.28,0.0,bottom
D4,150.5,-55.0,270.0,top
D5,145.75,-55.0,270.0,top
D6,141.0,-55.0,270.0,top
FL1,120.0,-63.25,180.0,bottom
J2,123.0,-114.195,0.0,top
J3,148.458,-65.024,180.0,top
J4,131.0465,-56.6345,0.0,top
J5,117.729,-56.642,0.0,top
K1,119.0,-88.75,0.0,top
K2,132.75,-88.75,0.0,top
K3,146.25,-88.75,0.0,top
Q1,116.9375,-86.0,180.0,bottom
Q2,129.9375,-86.0,180.0,bottom
Q3,144.0625,-85.95,180.0,bottom
R10,122.55,-87.376,0.0,bottom
R11,135.45,-87.376,0.0,bottom
R12,149.326,-87.376,0.0,bottom
R4,122.55,-85.0,0.0,bottom
R5,135.45,-85.0,0.0,bottom
R6,149.326,-85.0,0.0,bottom
R7,144.018,-60.3,90.0,bottom
R8,141.478,-60.25,90.0,bottom
R9,138.938,-60.3,90.0,bottom
RV1,119.0,-106.5,180.0,top
RV2,132.5,-106.5,180.0,top
RV3,146.0,-106.5,180.0,top
U1,117.0,-70.75,90.0,bottom
U2,138.25,-68.834,0.0,bottom
U3,128.135,-64.0,0.0,bottom
