Designator,Mid X,Mid Y,Rotation,Layer
D1,118.11,-81.28,0.0,bottom
D2,131.54,-81.28,0.0,bottom
D3,144.78,-81.28,0.0,bottom
D4,150.5,-55.0,270.0,top
D5,145.75,-55.0,270.0,top
D6,141.0,-55.0,270.0,top
D7,136.25,-55.0,270.0,top
J2,122.5,-114.695,0.0,top
J3,122.9825,-56.3575,0.0,top
K1,119.0,-88.75,0.0,top
K2,132.75,-88.75,0.0,top
K3,146.25,-88.75,0.0,top
Q1,116.9375,-86.0,180.0,bottom
Q2,129.9375,-86.0,180.0,bottom
Q3,144.0625,-85.95,180.0,bottom
R1,119.0,-63.0,270.0,bottom
R10,122.55,-88.0,0.0,bottom
R11,135.45,-88.0,0.0,bottom
R12,149.326,-88.0,0.0,bottom
R13,136.25,-60.25,90.0,bottom
R2,123.0,-63.0,270.0,bottom
R3,127.0,-63.0,270.0,bottom
R4,122.55,-85.0,0.0,bottom
R5,135.45,-85.0,0.0,bottom
R6,149.326,-85.0,0.0,bottom
R7,150.5,-60.3,90.0,bottom
R8,145.75,-60.25,90.0,bottom
R9,141.0,-60.3,90.0,bottom
RV1,119.0,-106.5,180.0,top
RV2,132.5,-106.5,180.0,top
RV3,146.0,-106.5,180.0,top
U1,117.8,-69.855,0.0,top
U2,131.8,-69.855,0.0,top
U3,145.8,-69.855,0.0,top
