Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3",D_SMA,3,1J,
"D4, D5, D6",LED_D3.0mm,3,G,
D7,LED_D3.0mm,1,R,
J2,"TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",1,Conn_01x04_Socket,
J3,"PhoenixContact_MCV_1,5_5-G-3.81_1x05_P3.81mm_Vertical",1,Conn_01x05_Socket,
"K1, K2, K3",Relay_SPDT_Omron_G2RL-1-E,3,Relay_SPDT,
"Q1, Q2, Q3",SOT-23,3,IRLML0030,
"R1, R2, R3",1206,3,1K,
"R10, R11, R12",1206,3,10k,
"R13, R7, R8, R9",1206,4,4k7,
"R4, R5, R6",1206,3,22,
"RV1, RV2, RV3",RV_Disc_D9mm_W3.3mm_P5mm,3,471K,
"U1, U2, U3",DIP-4_W7.62mm,3,PC817,
